target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2505.49	335.213	5.3798
Solyc05g010600.3.1	1637	1356.49	0	0
Solyc04g017960.2.1	150	37.1376	0	0
Solyc04g045315.1.1	1611	1330.49	0	0
Solyc04g072770.3.1	3093	2812.49	0	0
Solyc01g015070.3.1	608	329.201	14	1.71004
Solyc08g076580.2.1	758	478.07	74.9322	6.30254
Solyc08g008480.2.1	1106	825.495	82	3.99427
Solyc01g014103.1.1	1428	1147.49	661	23.1627
Solyc04g011650.3.1	2656	2375.49	199	3.36851
Solyc11g065557.1.1	2040	1759.49	0	0
Solyc04g049610.3.1	4183	3902.49	35.517	0.365959
Solyc02g087935.1.1	2256	1975.49	689.422	14.0329
Solyc02g085370.3.1	4460	4179.49	108.863	1.04736
Solyc01g095480.3.1	2429	2148.49	344.673	6.45076
Solyc05g044580.3.1	629	349.794	48	5.51782
Solyc02g065220.3.1	3659	3378.49	4743	56.4505
Solyc04g017890.2.1	969	688.635	0	0
Solyc05g009620.3.1	2000	1719.49	0	0
Solyc07g025390.3.1	1666	1385.49	197	5.71741
Solyc01g090660.3.1	2518	2237.49	0	0
Solyc11g020875.1.1	1848	1567.49	14	0.359137
Solyc12g035822.1.1	447	179.638	0	0
Solyc08g016080.3.1	2196	1915.49	5644	118.48
Solyc07g039230.2.1	345	103.396	0	0
Solyc06g048800.2.1	648	368.65	0	0
Solyc06g016800.2.1	933	652.767	0	0
Solyc09g090530.3.1	861	580.767	5.07174	0.351151
Solyc04g009610.2.1	353	108.312	26	9.65244
Solyc07g055960.2.1	123	32.4497	0	0
Solyc11g007670.2.1	3293	3012.49	673	8.98312
Solyc03g116240.3.1	330	94.5117	0	0
Solyc01g109210.2.1	1641	1360.49	450	13.3001
Solyc08g062290.3.1	1120	839.495	68	3.25709
Solyc11g062120.2.1	3045	2764.49	679	9.87626
Solyc05g006680.3.1	2159	1878.49	904	19.3507
Solyc07g009550.2.1	324	91.2428	0	0
Solyc02g093650.3.1	2422	2141.49	5	0.0938839
Solyc06g070910.2.1	1456	1175.49	0	0
Solyc05g013120.3.1	1106	825.495	1.00784	0.0490926
Solyc12g039000.2.1	716	436.163	0	0
Solyc04g072750.2.1	239	55.4376	0	0
Solyc04g080560.2.1	417	155.844	0	0
Solyc06g007110.3.1	3157	2876.49	846	11.8262
Solyc03g005480.3.1	1679	1398.49	1	0.0287526
Solyc07g062550.3.1	2545	2264.49	328	5.82426
Solyc05g005210.3.1	1678	1397.49	245	7.04943
Solyc08g016440.3.1	989	708.566	73	4.14267
Solyc01g049640.2.1	399	141.544	0	0
Solyc08g028915.1.1	360	113.045	2	0.711402
Solyc09g083240.3.1	647	367.65	102	11.1559
Solyc09g056410.2.1	678	398.458	2	0.20183
Solyc03g059050.2.1	1051	770.495	88	4.59252
Solyc04g054660.2.1	555	277.602	0	0
Solyc10g080940.2.1	2583	2302.49	3167	55.308
Solyc04g005680.3.1	1979	1698.49	3840	90.9087
Solyc05g051290.3.1	1387	1106.49	161	5.85079
Solyc04g050440.3.1	1797	1516.49	1254	33.2503
Solyc01g059853.1.1	516	240.815	37	6.17813
Solyc03g078580.3.1	543	266.092	573	86.5887
Solyc01g106930.3.1	562	284.404	0	0
Solyc07g005590.3.1	4253	3972.49	2355.55	23.8433
Solyc06g007680.2.1	2063	1782.49	459	10.3543
Solyc01g089960.3.1	1197	916.495	23	1.0091
Solyc03g006120.3.1	1661	1380.49	0	0
Solyc07g054000.3.1	701	421.294	1	0.0954451
Solyc02g032360.3.1	521	245.518	28	4.58578
Solyc02g089140.2.1	447	179.638	0	0
Solyc03g062910.3.1	5017	4736.49	230.21	1.95436
Solyc08g014020.3.1	624	344.794	382	44.5495
Solyc06g043113.1.1	1455	1174.49	1	0.0342363
Solyc01g150007.1.1	444	176.977	90	20.4487
Solyc09g031543.1.1	4368	4087.49	536.852	5.28124
Solyc08g067670.3.1	656	376.613	405.167	43.2591
Solyc10g084180.2.1	3498	3217.49	2335	29.1815
Solyc07g041510.2.1	3769	3488.49	933	10.7543
Solyc03g118770.3.1	1385	1104.49	11	0.400468
Solyc07g024015.1.1	8967	8686.49	1	0.00462907
Solyc07g009360.2.1	363	115.105	127	44.3658
Solyc03g082950.3.1	878	597.767	24	1.61442
Solyc11g022440.2.1	258	60.8103	0	0
Solyc03g019970.3.1	1779	1498.49	0	0
Solyc01g006790.2.1	731	451.163	193	17.2013
Solyc05g018220.2.1	558	280.546	0	0
Solyc01g107220.2.1	1167	886.495	0	0
Solyc05g051340.2.1	2629	2348.49	205	3.50996
Solyc09g075840.3.1	328	93.6311	1	0.429456
Solyc03g058370.2.1	1017	736.495	0	0
Solyc05g007250.3.1	1074	793.495	3773.47	191.221
Solyc04g048980.3.1	553	275.658	0	0
Solyc01g011091.1.1	8096	7815.49	353.839	1.82049
Solyc04g051680.3.1	2052	1771.49	187.396	4.25362
Solyc04g082200.2.1	1157	876.495	1086	49.8217
Solyc11g044632.1.1	686	406.377	0	0
Solyc06g007430.2.1	2112	1831.49	331	7.26709
Solyc08g036560.2.1	741	461.118	138	12.0339
Solyc01g090340.2.1	988	707.566	1500	85.2437
Solyc08g076720.3.1	4114	3833.49	572	5.99984
Solyc02g068930.3.1	1005	724.495	348	19.3145
Solyc01g095170.2.1	922	641.767	39	2.44357
Solyc07g018400.3.1	174	40.9031	13	12.7799
Solyc07g006300.3.1	2508	2227.49	1012	18.2685
Solyc09g072910.2.1	1314	1033.49	0	0
Solyc08g075320.3.1	2532	2251.49	0	0
Solyc03g044273.1.1	5441	5160.49	308.289	2.40218
Solyc09g005730.3.1	735	455.163	363	32.0684
Solyc04g079830.2.1	2469	2188.49	1600	29.3977
Solyc07g041820.2.1	3138	2857.49	0	0
Solyc01g044510.2.1	547	269.849	0	0
Solyc03g071853.1.1	894	613.767	0	0
Solyc01g095070.3.1	869	588.767	837	57.1637
Solyc06g007890.3.1	568	290.26	21	2.90918
Solyc09g055610.2.1	105	30.7048	0	0
Solyc04g009590.3.1	568	290.26	0	0
Solyc02g077240.3.1	2165	1884.49	30	0.640125
Solyc03g083100.3.1	1862	1581.49	2048	52.0716
Solyc08g006645.1.1	406	147.096	8.10713	2.21618
Solyc04g007825.1.1	1329	1048.49	17	0.65196
Solyc03g044060.3.1	3067	2786.49	223	3.21799
Solyc06g008980.3.1	1496	1215.49	37	1.22402
Solyc10g050757.1.1	1464	1183.49	0	0
Solyc01g094710.2.1	359	112.307	0	0
Solyc05g017830.2.1	232	53.221	0	0
Solyc11g027940.2.1	462	192.016	0	0
Solyc03g034130.3.1	840	559.767	0	0
Solyc04g011990.2.1	3364	3083.49	6	0.0782432
Solyc07g017560.3.1	2822	2541.49	0	0
Solyc01g005380.2.1	1818	1537.49	403.39	10.5499
Solyc12g005820.2.1	826	545.767	0	0
Solyc03g116170.3.1	1234	953.495	429	18.0916
Solyc04g016010.3.1	2019	1738.49	189	4.37146
Solyc12g098590.2.1	2992	2711.49	2459	36.466
Solyc03g082575.1.1	2097	1816.49	80.1763	1.7748
Solyc09g020070.2.1	1401	1120.49	0	0
Solyc07g017330.2.1	730	450.163	0	0
Solyc01g021700.2.1	1146	865.495	0	0
Solyc09g055550.3.1	1685	1404.49	33	0.944783
