target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2510.26	326.805	5.98216
Solyc05g010600.3.1	1637	1361.26	0	0
Solyc04g017960.2.1	150	35.0463	0	0
Solyc04g045315.1.1	1611	1335.26	0	0
Solyc04g072770.3.1	3093	2817.26	0	0
Solyc01g015070.3.1	608	333.309	36	4.96299
Solyc08g076580.2.1	758	482.43	83.7858	7.9804
Solyc08g008480.2.1	1106	830.262	145	8.02493
Solyc01g014103.1.1	1428	1152.26	532	21.2153
Solyc04g011650.3.1	2656	2380.26	232	4.4787
Solyc11g065557.1.1	2040	1764.26	0	0
Solyc04g049610.3.1	4183	3907.26	53.5241	0.629456
Solyc02g087935.1.1	2256	1980.26	738.116	17.1274
Solyc02g085370.3.1	4460	4184.26	77.6754	0.853008
Solyc01g095480.3.1	2429	2153.26	319.909	6.82681
Solyc05g044580.3.1	629	354.067	41	5.32091
Solyc02g065220.3.1	3659	3383.26	4407	59.8544
Solyc04g017890.2.1	969	693.262	0	0
Solyc05g009620.3.1	2000	1724.26	0	0
Solyc07g025390.3.1	1666	1390.26	240	7.93237
Solyc01g090660.3.1	2518	2242.26	1	0.0204928
Solyc11g020875.1.1	1848	1572.26	10	0.292256
Solyc12g035822.1.1	447	182.943	1	0.251173
Solyc08g016080.3.1	2196	1920.26	5198	124.384
Solyc07g039230.2.1	345	107.342	0	0
Solyc06g048800.2.1	648	372.85	0	0
Solyc06g016800.2.1	933	657.262	0	0
Solyc09g090530.3.1	861	585.323	21.7095	1.70429
Solyc04g009610.2.1	353	112.693	35	14.2712
Solyc07g055960.2.1	123	26.8467	0	0
Solyc11g007670.2.1	3293	3017.26	659	10.036
Solyc03g116240.3.1	330	97.826	0	0
Solyc01g109210.2.1	1641	1365.26	298	10.0297
Solyc08g062290.3.1	1120	844.262	61	3.32002
Solyc11g062120.2.1	3045	2769.26	516	8.56198
Solyc05g006680.3.1	2159	1883.26	954	23.277
Solyc07g009550.2.1	324	94.2154	0	0
Solyc02g093650.3.1	2422	2146.26	0	0
Solyc06g070910.2.1	1456	1180.26	0	0
Solyc05g013120.3.1	1106	830.262	0	0
Solyc12g039000.2.1	716	440.569	0	0
Solyc04g072750.2.1	239	55.9918	0	0
Solyc04g080560.2.1	417	158.7	0	0
Solyc06g007110.3.1	3157	2881.26	876	13.9704
Solyc03g005480.3.1	1679	1403.26	12	0.392944
Solyc07g062550.3.1	2545	2269.26	805	16.3005
Solyc05g005210.3.1	1678	1402.26	263	8.61817
Solyc08g016440.3.1	989	713.262	57	3.6721
Solyc01g049640.2.1	399	145.188	0	0
Solyc08g028915.1.1	360	117.053	3	1.17768
Solyc09g083240.3.1	647	371.85	105	12.9751
Solyc09g056410.2.1	678	402.654	0	0
Solyc03g059050.2.1	1051	775.262	97	5.74926
Solyc04g054660.2.1	555	281.634	0	0
Solyc10g080940.2.1	2583	2307.26	4577	91.1533
Solyc04g005680.3.1	1979	1703.26	3709	100.061
Solyc05g051290.3.1	1387	1111.26	104	4.30037
Solyc04g050440.3.1	1797	1521.26	821	24.7986
Solyc01g059853.1.1	516	244.538	39	7.32835
Solyc03g078580.3.1	543	270.051	748	127.275
Solyc01g106930.3.1	562	288.319	0	0
Solyc07g005590.3.1	4253	3977.26	2275.82	26.2931
Solyc06g007680.2.1	2063	1787.26	457	11.7494
Solyc01g089960.3.1	1197	921.262	43	2.14474
Solyc03g006120.3.1	1661	1385.26	0	0
Solyc07g054000.3.1	701	425.569	1	0.107974
Solyc02g032360.3.1	521	249.263	24	4.42427
Solyc02g089140.2.1	447	182.943	0	0
Solyc03g062910.3.1	5017	4741.26	196.575	1.90512
Solyc08g014020.3.1	624	349.103	419	55.1505
Solyc06g043113.1.1	1455	1179.26	0	0
Solyc01g150007.1.1	444	180.362	71	18.0884
Solyc09g031543.1.1	4368	4092.26	514	5.77149
Solyc08g067670.3.1	656	380.85	421	50.7945
Solyc10g084180.2.1	3498	3222.26	1872	26.6952
Solyc07g041510.2.1	3769	3493.26	940	12.3647
Solyc03g118770.3.1	1385	1109.26	12	0.497091
Solyc07g024015.1.1	8967	8691.26	2	0.0105739
Solyc07g009360.2.1	363	119.055	129	49.7888
Solyc03g082950.3.1	878	602.323	75	5.72164
Solyc11g022440.2.1	258	61.5051	0	0
Solyc03g019970.3.1	1779	1503.26	0	0
Solyc01g006790.2.1	731	455.524	237	23.907
Solyc05g018220.2.1	558	284.549	2	0.32297
Solyc01g107220.2.1	1167	891.262	0	0
Solyc05g051340.2.1	2629	2353.26	180	3.51472
Solyc09g075840.3.1	328	96.6002	3	1.42703
Solyc03g058370.2.1	1017	741.262	0	0
Solyc05g007250.3.1	1074	798.262	3664	210.911
Solyc04g048980.3.1	553	279.69	0	0
Solyc01g011091.1.1	8096	7820.26	404.986	2.37962
Solyc04g051680.3.1	2052	1776.26	240.953	6.23324
Solyc04g082200.2.1	1157	881.262	1176	61.3184
Solyc11g044632.1.1	686	410.654	0	0
Solyc06g007430.2.1	2112	1836.26	355	8.88346
Solyc08g036560.2.1	741	465.524	100	9.87066
Solyc01g090340.2.1	988	712.262	1140	73.5451
Solyc08g076720.3.1	4114	3838.26	682	8.16466
Solyc02g068930.3.1	1005	729.262	309	19.4699
Solyc01g095170.2.1	922	646.262	56	3.98169
Solyc07g018400.3.1	174	40.9212	8	8.98317
Solyc07g006300.3.1	2508	2232.26	1213	24.9692
Solyc09g072910.2.1	1314	1038.26	0	0
Solyc08g075320.3.1	2532	2256.26	1	0.0203657
Solyc03g044273.1.1	5441	5165.26	300.232	2.67087
Solyc09g005730.3.1	735	459.524	249	24.8988
Solyc04g079830.2.1	2469	2193.26	1466	30.7137
Solyc07g041820.2.1	3138	2862.26	0	0
Solyc01g044510.2.1	547	273.942	0	0
Solyc03g071853.1.1	894	618.262	0	0
Solyc01g095070.3.1	869	593.323	802	62.1115
Solyc06g007890.3.1	568	293.997	32	5.00145
Solyc09g055610.2.1	105	23.6957	0	0
Solyc04g009590.3.1	568	293.997	0	0
Solyc02g077240.3.1	2165	1889.26	21	0.510758
Solyc03g083100.3.1	1862	1586.26	2305	66.7705
Solyc08g006645.1.1	406	150.364	8.03484	2.45539
Solyc04g007825.1.1	1329	1053.26	55	2.39947
Solyc03g044060.3.1	3067	2791.26	275	4.5271
Solyc06g008980.3.1	1496	1220.26	48	1.80749
Solyc10g050757.1.1	1464	1188.26	0	0
Solyc01g094710.2.1	359	116.508	0	0
Solyc05g017830.2.1	232	53.8356	0	0
Solyc11g027940.2.1	462	195.817	0	0
Solyc03g034130.3.1	840	564.381	0	0
Solyc04g011990.2.1	3364	3088.26	3	0.0446371
Solyc07g017560.3.1	2822	2546.26	0	0
Solyc01g005380.2.1	1818	1542.26	327.209	9.74889
Solyc12g005820.2.1	826	550.381	1	0.0834882
Solyc03g116170.3.1	1234	958.262	347	16.6392
Solyc04g016010.3.1	2019	1743.26	139	3.66387
Solyc12g098590.2.1	2992	2716.26	2344	39.6528
