target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2503.02	332.004	4.78311
Solyc05g010600.3.1	1637	1354.02	0	0
Solyc04g017960.2.1	150	39.3543	0	0
Solyc04g045315.1.1	1611	1328.02	0	0
Solyc04g072770.3.1	3093	2810.02	13.7074	0.175905
Solyc01g015070.3.1	608	328.849	23	2.5221
Solyc08g076580.2.1	758	476.688	40.034	3.02849
Solyc08g008480.2.1	1106	823.015	8.68179	0.380393
Solyc01g014103.1.1	1428	1145.02	571	17.9827
Solyc04g011650.3.1	2656	2373.02	248	3.76862
Solyc11g065557.1.1	2040	1757.02	0	0
Solyc04g049610.3.1	4183	3900.02	336.744	3.11361
Solyc02g087935.1.1	2256	1973.02	1268.96	23.1925
Solyc02g085370.3.1	4460	4177.02	85.1427	0.735042
Solyc01g095480.3.1	2429	2146.02	398.046	6.68854
Solyc05g044580.3.1	629	349.476	82	8.46111
Solyc02g065220.3.1	3659	3376.02	3524	37.6411
Solyc04g017890.2.1	969	686.015	0	0
Solyc05g009620.3.1	2000	1717.02	0	0
Solyc07g025390.3.1	1666	1383.02	245	6.38808
Solyc01g090660.3.1	2518	2235.02	0	0
Solyc11g020875.1.1	1848	1565.02	4	0.0921664
Solyc12g035822.1.1	447	181.489	0	0
Solyc08g016080.3.1	2196	1913.02	4117	77.6057
Solyc07g039230.2.1	345	105.572	0	0
Solyc06g048800.2.1	648	368.119	0	0
Solyc06g016800.2.1	933	650.283	0	0
Solyc09g090530.3.1	861	578.653	4.20936	0.262319
Solyc04g009610.2.1	353	110.577	40	13.0445
Solyc07g055960.2.1	123	32.0616	0	0
Solyc11g007670.2.1	3293	3010.02	854	10.231
Solyc03g116240.3.1	330	96.1212	0	0
Solyc01g109210.2.1	1641	1358.02	645	17.1272
Solyc08g062290.3.1	1120	837.015	172	7.41013
Solyc11g062120.2.1	3045	2762.02	874	11.4108
Solyc05g006680.3.1	2159	1876.02	969	18.6259
Solyc07g009550.2.1	324	92.8555	0	0
Solyc02g093650.3.1	2422	2139.02	2	0.0337169
Solyc06g070910.2.1	1456	1173.02	0	0
Solyc05g013120.3.1	1106	823.015	4.02075	0.176169
Solyc12g039000.2.1	716	435.359	0	0
Solyc04g072750.2.1	239	55.6108	0	0
Solyc04g080560.2.1	417	156.935	4	0.919118
Solyc06g007110.3.1	3157	2874.02	1408	17.6663
Solyc03g005480.3.1	1679	1396.02	3	0.0774929
Solyc07g062550.3.1	2545	2262.02	167	2.66227
Solyc05g005210.3.1	1678	1395.02	312	8.06504
Solyc08g016440.3.1	989	706.015	335	17.1105
Solyc01g049640.2.1	399	143.471	0	0
Solyc08g028915.1.1	360	115.252	1	0.312885
Solyc09g083240.3.1	647	367.119	133	13.064
Solyc09g056410.2.1	678	397.814	9	0.815819
Solyc03g059050.2.1	1051	768.015	73	3.42755
Solyc04g054660.2.1	555	277.52	0	0
Solyc10g080940.2.1	2583	2300.02	2418	37.9102
Solyc04g005680.3.1	1979	1696.02	4303	91.4898
Solyc05g051290.3.1	1387	1104.02	84	2.74369
Solyc04g050440.3.1	1797	1514.02	171	4.07284
Solyc01g059853.1.1	516	241.055	45	6.73174
Solyc03g078580.3.1	543	266.123	661	89.5673
Solyc01g106930.3.1	562	284.265	0	0
Solyc07g005590.3.1	4253	3970.02	3179.29	28.8781
Solyc06g007680.2.1	2063	1780.02	630	12.7629
Solyc01g089960.3.1	1197	914.015	39	1.53866
Solyc03g006120.3.1	1661	1378.02	0	0
Solyc07g054000.3.1	701	420.445	3	0.257302
Solyc02g032360.3.1	521	245.707	25	3.66905
Solyc02g089140.2.1	447	181.489	0	0
Solyc03g062910.3.1	5017	4734.02	222.833	1.69738
Solyc08g014020.3.1	624	344.581	397	41.5461
Solyc06g043113.1.1	1455	1172.02	0	0
Solyc01g150007.1.1	444	179.185	90	18.1123
Solyc09g031543.1.1	4368	4085.02	786.947	6.94676
Solyc08g067670.3.1	656	375.969	485	46.518
Solyc10g084180.2.1	3498	3215.02	2465	27.6481
Solyc07g041510.2.1	3769	3486.02	1595	16.4992
Solyc03g118770.3.1	1385	1102.02	10	0.327223
