target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2499.01	341.292	5.55814
Solyc05g010600.3.1	1637	1350.01	0	0
Solyc04g017960.2.1	150	39.4584	0	0
Solyc04g045315.1.1	1611	1324.01	0	0
Solyc04g072770.3.1	3093	2806.01	13.6879	0.198527
Solyc01g015070.3.1	608	323.933	24	3.01529
Solyc08g076580.2.1	758	472.356	61.1689	5.27028
Solyc08g008480.2.1	1106	819.014	15	0.745371
Solyc01g014103.1.1	1428	1141.01	610	21.7576
Solyc04g011650.3.1	2656	2369.01	217	3.7279
Solyc11g065557.1.1	2040	1753.01	0	0
Solyc04g049610.3.1	4183	3896.01	427	4.46046
Solyc02g087935.1.1	2256	1969.01	1090.69	22.5438
Solyc02g085370.3.1	4460	4173.01	114.109	1.11287
Solyc01g095480.3.1	2429	2142.01	325.318	6.18099
Solyc05g044580.3.1	629	344.73	72	8.50013
Solyc02g065220.3.1	3659	3372.01	3026	36.5218
Solyc04g017890.2.1	969	682.082	0	0
Solyc05g009620.3.1	2000	1713.01	0	0
Solyc07g025390.3.1	1666	1379.01	208	6.13857
Solyc01g090660.3.1	2518	2231.01	0	0
Solyc11g020875.1.1	1848	1561.01	5	0.130357
Solyc12g035822.1.1	447	175.033	0	0
Solyc08g016080.3.1	2196	1909.01	4727	100.774
Solyc07g039230.2.1	345	99.9585	0	0
Solyc06g048800.2.1	648	363.517	0	0
Solyc06g016800.2.1	933	646.149	0	0
Solyc09g090530.3.1	861	574.631	4.17643	0.295794
Solyc04g009610.2.1	353	105.174	36	13.9305
Solyc07g055960.2.1	123	33.7751	1	1.20497
Solyc11g007670.2.1	3293	3006.01	898	12.1579
Solyc03g116240.3.1	330	90.6422	0	0
Solyc01g109210.2.1	1641	1354.01	612	18.395
Solyc08g062290.3.1	1120	833.014	77	3.76193
Solyc11g062120.2.1	3045	2758.01	1133	16.7188
Solyc05g006680.3.1	2159	1872.01	915	19.8923
Solyc07g009550.2.1	324	87.2584	0	0
Solyc02g093650.3.1	2422	2135.01	0	0
Solyc06g070910.2.1	1456	1169.01	0	0
Solyc05g013120.3.1	1106	819.014	0	0
Solyc12g039000.2.1	716	430.995	0	0
Solyc04g072750.2.1	239	53.2733	0	0
Solyc04g080560.2.1	417	151.113	3	0.807966
Solyc06g007110.3.1	3157	2870.01	1247	17.683
Solyc03g005480.3.1	1679	1392.01	6	0.17542
Solyc07g062550.3.1	2545	2258.01	134	2.41519
Solyc05g005210.3.1	1678	1391.01	282	8.25069
Solyc08g016440.3.1	989	702.014	189	10.9569
Solyc01g049640.2.1	399	137.01	0	0
Solyc08g028915.1.1	360	109.62	3	1.11379
Solyc09g083240.3.1	647	362.517	96	10.7774
Solyc09g056410.2.1	678	393.401	0	0
Solyc03g059050.2.1	1051	764.014	42	2.23728
Solyc04g054660.2.1	555	272.56	0	0
Solyc10g080940.2.1	2583	2296.01	2368	41.9739
Solyc04g005680.3.1	1979	1692.01	3915	94.1673
Solyc05g051290.3.1	1387	1100.01	77	2.84882
Solyc04g050440.3.1	1797	1510.01	218	5.87554
Solyc01g059853.1.1	516	235.57	69	11.9207
Solyc03g078580.3.1	543	261.206	525	81.7992
Solyc01g106930.3.1	562	279.253	0	0
Solyc07g005590.3.1	4253	3966.01	2608.44	26.767
Solyc06g007680.2.1	2063	1776.01	624	14.2992
Solyc01g089960.3.1	1197	910.014	39	1.74417
Solyc03g006120.3.1	1661	1374.01	0	0
Solyc07g054000.3.1	701	416.08	7	0.684689
Solyc02g032360.3.1	521	240.353	12	2.03191
Solyc02g089140.2.1	447	175.033	0	0
Solyc03g062910.3.1	5017	4730.01	160.342	1.37961
Solyc08g014020.3.1	624	339.833	275	32.9336
Solyc06g043113.1.1	1455	1168.01	2	0.0696874
Solyc01g150007.1.1	444	172.625	103	24.2831
Solyc09g031543.1.1	4368	4081.01	569.273	5.67707
Solyc08g067670.3.1	656	371.517	373.226	40.8851
Solyc10g084180.2.1	3498	3211.01	2308	29.2527
Solyc07g041510.2.1	3769	3482.01	1472	17.2048
Solyc03g118770.3.1	1385	1098.01	5	0.185325
Solyc07g024015.1.1	8967	8680.01	1.00017	0.0046895
Solyc07g009360.2.1	363	111.539	103	37.5821
Solyc03g082950.3.1	878	591.514	16	1.10085
Solyc11g022440.2.1	258	57.1359	0	0
Solyc03g019970.3.1	1779	1492.01	2	0.0545544
Solyc01g006790.2.1	731	445.906	471	42.9883
Solyc05g018220.2.1	558	275.477	2	0.295472
Solyc01g107220.2.1	1167	880.014	4	0.184988
Solyc05g051340.2.1	2629	2342.01	244	4.24007
Solyc09g075840.3.1	328	89.7496	0	0
Solyc03g058370.2.1	1017	730.014	0	0
Solyc05g007250.3.1	1074	787.014	1925	99.5453
Solyc04g048980.3.1	553	270.587	0	0
Solyc01g011091.1.1	8096	7809.01	344.082	1.79324
Solyc04g051680.3.1	2052	1765.01	182.311	4.20375
