target_id	length	eff_length	est_counts	tpm
Solyc06g043170.3.1	2786	2516.5	220.069	4.06171
Solyc05g010600.3.1	1637	1367.5	0	0
Solyc04g017960.2.1	150	34.3246	0	0
Solyc04g045315.1.1	1611	1341.5	0	0
Solyc04g072770.3.1	3093	2823.5	0	0
Solyc01g015070.3.1	608	339.554	18	2.46212
Solyc08g076580.2.1	758	488.728	81.5566	7.75065
Solyc08g008480.2.1	1106	836.496	66	3.66459
Solyc01g014103.1.1	1428	1158.5	818	32.7948
Solyc04g011650.3.1	2656	2386.5	270	5.25471
Solyc11g065557.1.1	2040	1770.5	0	0
Solyc04g049610.3.1	4183	3913.5	21.5661	0.255949
Solyc02g087935.1.1	2256	1986.5	668.708	15.6349
Solyc02g085370.3.1	4460	4190.5	76.7125	0.850251
Solyc01g095480.3.1	2429	2159.5	192.038	4.13029
Solyc05g044580.3.1	629	360.45	31	3.9945
Solyc02g065220.3.1	3659	3389.5	6790	93.0423
Solyc04g017890.2.1	969	699.496	0	0
Solyc05g009620.3.1	2000	1730.5	0	0
Solyc07g025390.3.1	1666	1396.5	207	6.88457
Solyc01g090660.3.1	2518	2248.5	0	0
Solyc11g020875.1.1	1848	1578.5	7	0.205968
Solyc12g035822.1.1	447	186.739	0	0
Solyc08g016080.3.1	2196	1926.5	8918	215.003
Solyc07g039230.2.1	345	108.899	0	0
Solyc06g048800.2.1	648	379.193	0	0
Solyc06g016800.2.1	933	663.566	0	0
Solyc09g090530.3.1	861	591.566	1.00563	0.078955
Solyc04g009610.2.1	353	114.172	20	8.13608
Solyc07g055960.2.1	123	28.6907	0	0
Solyc11g007670.2.1	3293	3023.5	807	12.3968
Solyc03g116240.3.1	330	99.5932	0	0
Solyc01g109210.2.1	1641	1371.5	366	12.3946
Solyc08g062290.3.1	1120	850.496	81	4.42342
Solyc11g062120.2.1	3045	2775.5	646	10.8103
Solyc05g006680.3.1	2159	1889.5	862	21.1888
Solyc07g009550.2.1	324	96.3567	0	0
Solyc02g093650.3.1	2422	2152.5	0	0
Solyc06g070910.2.1	1456	1186.5	0	0
Solyc05g013120.3.1	1106	836.496	0	0
Solyc12g039000.2.1	716	446.818	0	0
Solyc04g072750.2.1	239	56.9972	0	0
Solyc04g080560.2.1	417	161.525	0	0
Solyc06g007110.3.1	3157	2887.5	1000	16.0851
Solyc03g005480.3.1	1679	1409.5	8	0.263616
Solyc07g062550.3.1	2545	2275.5	155	3.16375
Solyc05g005210.3.1	1678	1408.5	297	9.7937
Solyc08g016440.3.1	989	719.496	52	3.35676
Solyc01g049640.2.1	399	147.175	0	0
Solyc08g028915.1.1	360	118.616	3	1.17469
Solyc09g083240.3.1	647	378.193	87	10.6844
Solyc09g056410.2.1	678	409.072	0	0
Solyc03g059050.2.1	1051	781.496	92	5.46773
Solyc04g054660.2.1	555	287.589	0	0
Solyc10g080940.2.1	2583	2313.5	1976	39.6702
Solyc04g005680.3.1	1979	1709.5	2993	81.3176
Solyc05g051290.3.1	1387	1117.5	124	5.15373
Solyc04g050440.3.1	1797	1527.5	1273	38.7074
Solyc01g059853.1.1	516	249.874	29	5.39043
Solyc03g078580.3.1	543	275.983	411	69.168
Solyc01g106930.3.1	562	294.355	0	0
Solyc07g005590.3.1	4253	3983.5	2267.28	26.4354
Solyc06g007680.2.1	2063	1793.5	430	11.1356
Solyc01g089960.3.1	1197	927.496	15	0.751147
Solyc03g006120.3.1	1661	1391.5	0	0
Solyc07g054000.3.1	701	431.905	1	0.107537
Solyc02g032360.3.1	521	254.62	46	8.39097
Solyc02g089140.2.1	447	186.739	0	0
Solyc03g062910.3.1	5017	4747.5	143.893	1.40773
Solyc08g014020.3.1	624	355.45	368	48.0856
Solyc06g043113.1.1	1455	1185.5	0	0
Solyc01g150007.1.1	444	184.258	76	19.1573
Solyc09g031543.1.1	4368	4098.5	545.525	6.18211
Solyc08g067670.3.1	656	387.193	350	41.9843
Solyc10g084180.2.1	3498	3228.5	1848	26.5857
Solyc07g041510.2.1	3769	3499.5	934	12.3962
Solyc03g118770.3.1	1385	1115.5	9	0.374732
Solyc07g024015.1.1	8967	8697.5	0	0
Solyc07g009360.2.1	363	120.521	69	26.5908
Solyc03g082950.3.1	878	608.566	20	1.5264
Solyc11g022440.2.1	258	63.6658	0	0
Solyc03g019970.3.1	1779	1509.5	0	0
